        Type         |        Subtype        |   Base   |   Size   |  CRC32   |   Name 
 CPD store           |                       | 0005C000 | 000002CC | 1986323F | ---- CPD partition table
 CPD entry           |                       | 0005C014 | 00000018 | 60862DA7 | ----- FTPR.man
 CPD entry           |                       | 0005C02C | 00000018 | 9901C8FD | ----- rot.key
 CPD entry           |                       | 0005C044 | 00000018 | 89BDFA03 | ----- fitc.cfg
 CPD entry           |                       | 0005C05C | 00000018 | D4C0C2C7 | ----- kernel
 CPD entry           |                       | 0005C074 | 00000018 | 58424609 | ----- syslib
 CPD entry           |                       | 0005C08C | 00000018 | E81FABD5 | ----- bup
 CPD entry           |                       | 0005C0A4 | 00000018 | 55DC2C0E | ----- intl.cfg
 CPD entry           |                       | 0005C0BC | 00000018 | DE686949 | ----- intl.cfg.met
 CPD entry           |                       | 0005C0D4 | 00000018 | D8CF2204 | ----- pm
 CPD entry           |                       | 0005C0EC | 00000018 | C9CE26EF | ----- vfs
 CPD entry           |                       | 0005C104 | 00000018 | 84D6EC3C | ----- evtdisp
 CPD entry           |                       | 0005C11C | 00000018 | 486A6609 | ----- loadmgr
 CPD entry           |                       | 0005C134 | 00000018 | 182D102D | ----- busdrv
 CPD entry           |                       | 0005C14C | 00000018 | 13EE0ECE | ----- prtc
 CPD entry           |                       | 0005C164 | 00000018 | 5E869882 | ----- smbus
 CPD entry           |                       | 0005C17C | 00000018 | F0B68CA9 | ----- crypto
 CPD entry           |                       | 0005C194 | 00000018 | 589C4821 | ----- fpf
 CPD entry           |                       | 0005C1AC | 00000018 | 439708EA | ----- storage
 CPD entry           |                       | 0005C1C4 | 00000018 | AE0B4FA6 | ----- gpio
 CPD entry           |                       | 0005C1DC | 00000018 | 6B67BBA5 | ----- ipc_drv
 CPD entry           |                       | 0005C1F4 | 00000018 | 2634D254 | ----- sec_msg
 CPD entry           |                       | 0005C20C | 00000018 | A4795F41 | ----- policy
